Emp-ID,Age,Attrition,BusinessTravel,Department,DistanceFromHome (km),Education Level ,Gender,JobInvolvement,JobInvolvement  Level,JobPosition,JobPosition Level,JobRole,JobSatisfaction,JobSatisfaction Level, MonthlyIncome ,OverTime,PerformanceRating,PerformanceRating Level,TrainingTimesLastYear,TraningLevel,WorkLifeBalance,WorkLifeBalance Level,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Date Of Joining,Exit Date,,,,,,,,,,,,,,,,,,,,,,,
Emp-217,30,Yes,Travel Frequently,Sales,26,Post Graduate,Female,2,Moderate,2,Junior Level,Sales Executive,1,Low," ₹ 66,960 ",No,3,Meets Expectation,5,Advanced Training,2,Poor,6,3,0,11-09-2018,22-03-2020,,,,,,,,,,,,,,,,,,,,,,,
Emp-218,29,Yes,Travel Rarely,Research & Development,1,Post Graduate,Male,3,High,1,Entry Level,Research Scientist,3,High," ₹ 20,580 ",No,3,Meets Expectation,1,Basic Training,2,Poor,6,2,1,21-01-2018,06-05-2022,,,,,,,,,,,,,,,,,,,,,,,
Emp-219,45,No,Non Travel,Sales,6,Post Graduate,Female,2,Moderate,3,Mid Level,Sales Executive,4,Very High," ₹ 88,650 ",No,2,Needs Improvement,2,Regular Training,3,Good,19,7,12,17-05-2005,,,,,,,,,,,,,,,,,,,,,,,,
Emp-220,54,No,Travel Rarely,Sales,3,Post Graduate,Female,3,High,2,Junior Level,Sales Executive,1,Low," ₹ 59,400 ",No,4,Exceeds Expectation,4,Advanced Training,3,Good,6,2,0,16-08-2018,,,,,,,,,,,,,,,,,,,,,,,,
Emp-221,36,No,Travel Rarely,Research & Development,5,Post Graduate,Male,3,High,2,Junior Level,Laboratory Technician,2,Moderate," ₹ 59,140 ",No,3,Meets Expectation,3,Regular Training,4,Better,13,11,3,03-01-2011,,,,,,,,,,,,,,,,,,,,,,,,
Emp-222,33,No,Travel Rarely,Research & Development,4,Phd holder,Female,2,Moderate,1,Entry Level,Research Scientist,2,Moderate," ₹ 26,220 ",No,2,Needs Improvement,3,Regular Training,3,Good,3,2,1,07-09-2021,,,,,,,,,,,,,,,,,,,,,,,,
Emp-223,37,No,Travel Frequently,Research & Development,11,Post Graduate,Male,3,High,3,Mid Level,Research Director,4,Very High," ₹ 1,21,850 ",Yes,3,Meets Expectation,1,Basic Training,3,Good,10,8,0,01-07-2014,,,,,,,,,,,,,,,,,,,,,,,,
Emp-224,38,No,Travel Rarely,Sales,3,Post Graduate,Male,3,High,3,Mid Level,Sales Executive,3,High," ₹ 1,06,090 ",No,2,Needs Improvement,6,Advanced Training,2,Poor,16,10,5,02-08-2008,,,,,,,,,,,,,,,,,,,,,,,,
Emp-225,31,No,Non Travel,Research & Development,1,Phd holder,Male,1,Low,2,Junior Level,Manufacturing Director,3,High," ₹ 43,450 ",No,1,Unacceptable/PIP,2,Regular Training,3,Good,5,4,1,17-01-2019,,,,,,,,,,,,,,,,,,,,,,,,
Emp-226,59,No,Travel Rarely,Research & Development,3,Post Graduate,Male,2,Moderate,1,Entry Level,Research Scientist,4,Very High," ₹ 21,770 ",No,3,Meets Expectation,6,Advanced Training,3,Good,1,0,0,19-10-2023,,,,,,,,,,,,,,,,,,,,,,,,
Emp-227,37,No,Travel Frequently,Sales,4,Post Graduate,Male,3,High,1,Entry Level,Sales Representative,4,Very High," ₹ 27,930 ",No,3,Meets Expectation,2,Regular Training,3,Good,9,8,5,16-07-2015,,,,,,,,,,,,,,,,,,,,,,,,
Emp-228,29,No,Travel Frequently,Sales,1,Post Graduate,Female,3,High,3,Mid Level,Sales Executive,4,Very High," ₹ 79,180 ",No,4,Exceeds Expectation,5,Advanced Training,3,Good,11,10,4,10-02-2013,,,,,,,,,,,,,,,,,,,,,,,,
Emp-229,35,No,Travel Frequently,Sales,1,Phd holder,Female,3,High,3,Mid Level,Sales Executive,3,High," ₹ 87,890 ",No,3,Meets Expectation,3,Regular Training,4,Better,10,7,0,14-07-2014,,,,,,,,,,,,,,,,,,,,,,,,
Emp-230,29,Yes,Travel Rarely,Research & Development,18,Post Graduate,Male,2,Moderate,1,Entry Level,Research Scientist,4,Very High," ₹ 23,890 ",Yes,2,Needs Improvement,3,Regular Training,2,Poor,4,3,0,14-03-2020,11-02-2021,,,,,,,,,,,,,,,,,,,,,,,
Emp-231,52,No,Travel Rarely,Research & Development,2,Post Graduate,Female,2,Moderate,1,Entry Level,Laboratory Technician,4,Very High," ₹ 32,120 ",No,2,Needs Improvement,3,Regular Training,2,Poor,2,2,2,19-04-2022,,,,,,,,,,,,,,,,,,,,,,,,
Emp-232,42,No,Travel Rarely,Research & Development,4,Post Graduate,Male,3,High,5,Leadership,Manager,4,Very High," ₹ 1,92,320 ",No,3,Meets Expectation,3,Regular Training,3,Good,22,17,11,18-04-2002,,,,,,,,,,,,,,,,,,,,,,,,
Emp-233,59,No,Travel Rarely,Human Resources,6,Post Graduate,Male,3,High,1,Entry Level,Human Resources,3,High," ₹ 22,670 ",No,4,Exceeds Expectation,2,Regular Training,2,Poor,2,2,2,05-08-2022,,,,,,,,,,,,,,,,,,,,,,,,
Emp-234,50,No,Travel Rarely,Sales,1,Post Graduate,Female,3,High,5,Leadership,Manager,4,Very High," ₹ 1,95,170 ",No,3,Meets Expectation,3,Regular Training,2,Poor,7,0,0,02-11-2017,,,,,,,,,,,,,,,,,,,,,,,,
Emp-235,33,Yes,Travel Rarely,Research & Development,14,Post Graduate,Male,3,High,1,Entry Level,Laboratory Technician,4,Very High," ₹ 24,360 ",Yes,4,Exceeds Expectation,2,Regular Training,1,Very Poor,5,4,0,14-07-2019,12-04-2021,,,,,,,,,,,,,,,,,,,,,,,
Emp-236,43,No,Travel Rarely,Sales,16,Post Graduate,Female,3,High,4,Senior Level,Manager,4,Very High," ₹ 1,60,640 ",Yes,3,Meets Expectation,3,Regular Training,3,Good,17,13,1,16-07-2007,,,,,,,,,,,,,,,,,,,,,,,,
Emp-237,33,Yes,Travel Rarely,Research & Development,2,Post Graduate,Female,3,High,1,Entry Level,Laboratory Technician,1,Low," ₹ 27,070 ",No,4,Exceeds Expectation,3,Regular Training,4,Better,9,7,1,20-07-2015,07-02-2022,,,,,,,,,,,,,,,,,,,,,,,
Emp-238,52,No,Non Travel,Sales,2,Phd holder,Male,2,Moderate,5,Leadership,Manager,3,High," ₹ 1,90,680 ",Yes,3,Meets Expectation,2,Regular Training,4,Better,33,7,15,17-06-1991,,,,,,,,,,,,,,,,,,,,,,,,
Emp-239,32,No,Travel Rarely,Sales,4,Post Graduate,Female,3,High,1,Entry Level,Sales Representative,2,Moderate," ₹ 39,310 ",No,3,Meets Expectation,5,Advanced Training,3,Good,4,3,1,24-02-2020,,,,,,,,,,,,,,,,,,,,,,,,
Emp-240,32,Yes,Travel Rarely,Research & Development,1,Post Graduate,Male,2,Moderate,1,Entry Level,Laboratory Technician,3,High," ₹ 37,300 ",Yes,3,Meets Expectation,2,Regular Training,1,Very Poor,3,2,1,08-12-2021,30-10-2022,,,,,,,,,,,,,,,,,,,,,,,
Emp-241,39,No,Travel Rarely,Research & Development,1,Post Graduate,Female,3,High,1,Entry Level,Laboratory Technician,3,High," ₹ 22,320 ",No,4,Exceeds Expectation,1,Basic Training,3,Good,3,2,1,11-03-2021,,,,,,,,,,,,,,,,,,,,,,,,
Emp-242,32,No,Non Travel,Sales,26,Post Graduate,Male,3,High,2,Junior Level,Sales Executive,4,Very High," ₹ 44,650 ",No,4,Exceeds Expectation,2,Regular Training,3,Good,3,2,2,02-09-2021,,,,,,,,,,,,,,,,,,,,,,,,
Emp-243,41,No,Travel Rarely,Research & Development,19,Phd holder,Male,3,High,2,Junior Level,Research Scientist,1,Low," ₹ 30,720 ",No,4,Exceeds Expectation,2,Regular Training,2,Poor,1,0,0,24-09-2023,,,,,,,,,,,,,,,,,,,,,,,,
Emp-244,40,No,Travel Rarely,Research & Development,24,Post Graduate,Male,3,High,2,Junior Level,Research Scientist,4,Very High," ₹ 33,190 ",No,4,Exceeds Expectation,3,Regular Training,3,Good,9,8,4,06-12-2015,,,,,,,,,,,,,,,,,,,,,,,,
Emp-245,45,No,Travel Rarely,Research & Development,1,Phd holder,Male,4,Very High,5,Leadership,Manager,4,Very High," ₹ 1,92,020 ",No,4,Exceeds Expectation,2,Regular Training,3,Good,24,0,1,03-01-2000,,,,,,,,,,,,,,,,,,,,,,,,
Emp-246,31,No,Travel Frequently,Research & Development,3,Post Graduate,Male,3,High,3,Mid Level,Research Director,3,High," ₹ 1,36,750 ",No,3,Meets Expectation,3,Regular Training,3,Good,2,2,2,24-04-2022,,,,,,,,,,,,,,,,,,,,,,,,
Emp-247,33,No,Travel Rarely,Research & Development,5,Phd holder,Female,2,Moderate,1,Entry Level,Research Scientist,4,Very High," ₹ 29,110 ",No,3,Meets Expectation,2,Regular Training,2,Poor,2,2,0,01-03-2022,,,,,,,,,,,,,,,,,,,,,,,,
Emp-248,34,No,Travel Rarely,Research & Development,2,Post Graduate,Male,2,Moderate,2,Junior Level,Manufacturing Director,1,Low," ₹ 59,570 ",No,2,Needs Improvement,3,Regular Training,3,Good,11,9,5,01-09-2013,,,,,,,,,,,,,,,,,,,,,,,,
Emp-249,37,No,Travel Rarely,Research & Development,1,Post Graduate,Female,2,Moderate,1,Entry Level,Research Scientist,1,Low," ₹ 39,200 ",No,3,Meets Expectation,2,Regular Training,2,Poor,3,1,0,07-08-2021,,,,,,,,,,,,,,,,,,,,,,,,
Emp-250,45,No,Travel Frequently,Research & Development,7,Post Graduate,Male,4,Very High,2,Junior Level,Manufacturing Director,3,High," ₹ 64,340 ",No,4,Exceeds Expectation,1,Basic Training,3,Good,3,2,0,10-10-2021,,,,,,,,,,,,,,,,,,,,,,,,
Emp-251,37,Yes,Travel Frequently,Research & Development,10,Post Graduate,Male,3,High,3,Mid Level,Manufacturing Director,3,High," ₹ 1,00,480 ",No,3,Meets Expectation,5,Advanced Training,3,Good,1,0,0,22-08-2023,03-04-2024,,,,,,,,,,,,,,,,,,,,,,,
Emp-252,39,No,Travel Frequently,Research & Development,2,Post Graduate,Female,3,High,3,Mid Level,Healthcare Representative,3,High," ₹ 1,09,380 ",No,2,Needs Improvement,1,Basic Training,3,Good,19,6,11,03-05-2005,,,,,,,,,,,,,,,,,,,,,,,,
Emp-253,29,No,Travel Rarely,Research & Development,15,Post Graduate,Male,3,High,1,Entry Level,Research Scientist,4,Very High," ₹ 23,400 ",No,3,Meets Expectation,1,Basic Training,3,Good,6,5,1,21-07-2018,,,,,,,,,,,,,,,,,,,,,,,,
Emp-254,42,No,Travel Rarely,Research & Development,17,Post Graduate,Female,4,Very High,2,Junior Level,Research Scientist,1,Low," ₹ 65,450 ",Yes,5,Pure Talent,1,Basic Training,3,Good,3,2,0,18-01-2021,,,,,,,,,,,,,,,,,,,,,,,,
Emp-255,29,No,Travel Rarely,Sales,20,Post Graduate,Male,3,High,2,Junior Level,Sales Executive,4,Very High," ₹ 69,310 ",No,4,Exceeds Expectation,2,Regular Training,3,Good,3,2,0,07-03-2021,,,,,,,,,,,,,,,,,,,,,,,,
Emp-256,25,No,Travel Rarely,Research & Development,1,Post Graduate,Female,3,High,2,Junior Level,Manufacturing Director,3,High," ₹ 48,980 ",No,4,Exceeds Expectation,3,Regular Training,3,Good,4,2,1,03-11-2020,,,,,,,,,,,,,,,,,,,,,,,,
Emp-257,42,No,Travel Rarely,Research & Development,2,Post Graduate,Female,2,Moderate,1,Entry Level,Laboratory Technician,1,Low," ₹ 25,930 ",Yes,3,Meets Expectation,4,Advanced Training,3,Good,9,6,7,15-01-2015,,,,,,,,,,,,,,,,,,,,,,,,
Emp-258,40,No,Travel Rarely,Research & Development,2,Phd holder,Male,3,High,5,Leadership,Research Director,3,High," ₹ 1,94,360 ",No,3,Meets Expectation,5,Advanced Training,3,Good,21,7,3,20-12-2003,,,,,,,,,,,,,,,,,,,,,,,,
Emp-259,51,No,Travel Rarely,Research & Development,1,Post Graduate,Male,3,High,1,Entry Level,Research Scientist,4,Very High," ₹ 27,230 ",No,3,Meets Expectation,0,Basic Training,2,Poor,1,0,0,20-02-2023,,,,,,,,,,,,,,,,,,,,,,,,
Emp-260,31,Yes,Travel Frequently,Research & Development,29,Post Graduate,Male,2,Moderate,1,Entry Level,Laboratory Technician,2,Moderate," ₹ 34,790 ",No,2,Needs Improvement,2,Regular Training,4,Better,5,4,1,18-09-2019,07-05-2024,,,,,,,,,,,,,,,,,,,,,,,
Emp-261,32,No,Travel Frequently,Research & Development,7,Post Graduate,Male,4,Very High,1,Entry Level,Laboratory Technician,2,Moderate," ₹ 27,940 ",No,5,Pure Talent,3,Regular Training,1,Very Poor,5,1,0,15-08-2019,,,,,,,,,,,,,,,,,,,,,,,,
Emp-262,38,No,Non Travel,Sales,2,Phd holder,Male,2,Moderate,2,Junior Level,Sales Executive,4,Very High," ₹ 52,490 ",No,2,Needs Improvement,0,Basic Training,3,Good,8,7,7,03-05-2016,,,,,,,,,,,,,,,,,,,,,,,,
Emp-263,32,No,Travel Rarely,Research & Development,2,Post Graduate,Male,2,Moderate,2,Junior Level,Laboratory Technician,1,Low," ₹ 21,760 ",No,2,Needs Improvement,5,Advanced Training,3,Good,6,2,0,18-12-2018,,,,,,,,,,,,,,,,,,,,,,,,
Emp-264,46,No,Travel Rarely,Sales,2,Post Graduate,Female,1,Low,4,Senior Level,Manager,2,Moderate," ₹ 1,68,720 ",Yes,3,Meets Expectation,2,Regular Training,2,Poor,7,7,7,25-01-2017,,,,,,,,,,,,,,,,,,,,,,,,
Emp-265,28,Yes,Travel Rarely,Research & Development,2,Post Graduate,Male,3,High,1,Entry Level,Laboratory Technician,3,High," ₹ 34,850 ",No,4,Exceeds Expectation,5,Advanced Training,1,Very Poor,0,0,0,18-09-2024,27-11-2024,,,,,,,,,,,,,,,,,,,,,,,
Emp-266,29,No,Travel Rarely,Sales,2,Post Graduate,Male,2,Moderate,2,Junior Level,Sales Executive,2,Moderate," ₹ 66,440 ",No,3,Meets Expectation,2,Regular Training,3,Good,0,0,0,02-05-2024,,,,,,,,,,,,,,,,,,,,,,,,
Emp-267,31,No,Travel Rarely,Research & Development,23,Post Graduate,Male,2,Moderate,2,Junior Level,Healthcare Representative,4,Very High," ₹ 55,820 ",No,2,Needs Improvement,2,Regular Training,3,Good,9,0,7,21-04-2015,,,,,,,,,,,,,,,,,,,,,,,,
Emp-268,25,No,Non Travel,Research & Development,5,Post Graduate,Male,4,Very High,2,Junior Level,Healthcare Representative,1,Low," ₹ 40,000 ",No,5,Pure Talent,2,Regular Training,3,Good,6,3,1,11-01-2018,,,,,,,,,,,,,,,,,,,,,,,,
Emp-269,45,No,Travel Rarely,Research & Development,20,Post Graduate,Male,3,High,4,Senior Level,Healthcare Representative,4,Very High," ₹ 1,34,960 ",Yes,3,Meets Expectation,2,Regular Training,3,Good,20,7,4,10-12-2004,,,,,,,,,,,,,,,,,,,,,,,,
Emp-270,36,No,Travel Rarely,Research & Development,6,Post Graduate,Male,3,High,1,Entry Level,Laboratory Technician,4,Very High," ₹ 32,100 ",No,3,Meets Expectation,4,Advanced Training,3,Good,15,13,10,13-03-2009,,,,,,,,,,,,,,,,,,,,,,,,
Emp-271,55,No,Travel Rarely,Research & Development,1,Post Graduate,Male,3,High,5,Leadership,Manager,1,Low," ₹ 1,90,450 ",Yes,3,Meets Expectation,2,Regular Training,3,Good,36,10,4,23-11-1988,,,,,,,,,,,,,,,,,,,,,,,,
Emp-272,47,Yes,Non Travel,Research & Development,29,Post Graduate,Male,3,High,3,Mid Level,Manager,2,Moderate," ₹ 1,18,490 ",Yes,2,Needs Improvement,2,Regular Training,2,Poor,10,7,9,13-04-2014,08-01-2024,,,,,,,,,,,,,,,,,,,,,,,
Emp-273,28,No,Travel Rarely,Research & Development,9,Phd holder,Male,3,High,1,Entry Level,Research Scientist,4,Very High," ₹ 20,700 ",No,4,Exceeds Expectation,3,Regular Training,2,Poor,5,2,0,19-03-2019,,,,,,,,,,,,,,,,,,,,,,,,
Emp-274,37,No,Travel Rarely,Sales,6,Post Graduate,Male,3,High,2,Junior Level,Sales Executive,4,Very High," ₹ 65,020 ",No,4,Exceeds Expectation,5,Advanced Training,4,Better,5,4,0,15-03-2019,,,,,,,,,,,,,,,,,,,,,,,,
Emp-275,21,No,Travel Rarely,Research & Development,3,Graduate,Male,2,Moderate,1,Entry Level,Research Scientist,3,High," ₹ 32,300 ",No,3,Meets Expectation,4,Advanced Training,4,Better,3,2,1,16-10-2021,,,,,,,,,,,,,,,,,,,,,,,,
Emp-276,37,No,Non Travel,Research & Development,1,Post Graduate,Female,3,High,3,Mid Level,Research Director,4,Very High," ₹ 1,36,030 ",Yes,3,Meets Expectation,2,Regular Training,3,Good,5,2,0,03-03-2019,,,,,,,,,,,,,,,,,,,,,,,,
Emp-277,35,No,Travel Rarely,Research & Development,22,Post Graduate,Female,4,Very High,3,Mid Level,Manager,2,Moderate," ₹ 1,19,960 ",No,3,Meets Expectation,6,Advanced Training,2,Poor,7,7,6,15-04-2017,,,,,,,,,,,,,,,,,,,,,,,,
Emp-278,38,No,Travel Rarely,Sales,7,Post Graduate,Female,4,Very High,2,Junior Level,Sales Executive,1,Low," ₹ 56,050 ",Yes,2,Needs Improvement,3,Regular Training,3,Good,8,0,7,14-04-2016,,,,,,,,,,,,,,,,,,,,,,,,
Emp-279,26,No,Travel Frequently,Research & Development,1,Post Graduate,Female,3,High,2,Junior Level,Manufacturing Director,2,Moderate," ₹ 63,970 ",No,4,Exceeds Expectation,6,Advanced Training,1,Very Poor,6,5,1,06-08-2018,,,,,,,,,,,,,,,,,,,,,,,,
Emp-280,50,No,Travel Rarely,Research & Development,4,Post Graduate,Male,3,High,5,Leadership,Research Director,2,Moderate," ₹ 1,91,440 ",No,4,Exceeds Expectation,4,Advanced Training,2,Poor,10,4,1,07-05-2014,,,,,,,,,,,,,,,,,,,,,,,,
Emp-281,53,No,Travel Rarely,Research & Development,3,Post Graduate,Male,3,High,4,Senior Level,Research Director,3,High," ₹ 1,75,840 ",Yes,4,Exceeds Expectation,5,Advanced Training,2,Poor,5,3,1,04-04-2019,,,,,,,,,,,,,,,,,,,,,,,,
Emp-282,42,No,Travel Rarely,Sales,1,Post Graduate,Male,3,High,2,Junior Level,Sales Executive,3,High," ₹ 49,070 ",No,3,Meets Expectation,3,Regular Training,3,Good,20,16,11,05-12-2004,,,,,,,,,,,,,,,,,,,,,,,,
Emp-283,29,No,Travel Frequently,Sales,2,Post Graduate,Male,3,High,2,Junior Level,Sales Executive,4,Very High," ₹ 45,540 ",No,3,Meets Expectation,3,Regular Training,2,Poor,10,7,0,07-05-2014,,,,,,,,,,,,,,,,,,,,,,,,
Emp-284,55,No,Travel Rarely,Research & Development,20,Post Graduate,Male,3,High,2,Junior Level,Laboratory Technician,4,Very High," ₹ 54,150 ",Yes,4,Exceeds Expectation,4,Advanced Training,3,Good,10,7,0,18-05-2014,,,,,,,,,,,,,,,,,,,,,,,,
Emp-285,26,No,Travel Frequently,Research & Development,11,Post Graduate,Male,3,High,2,Junior Level,Healthcare Representative,1,Low," ₹ 47,410 ",Yes,4,Exceeds Expectation,3,Regular Training,3,Good,5,3,3,01-04-2019,,,,,,,,,,,,,,,,,,,,,,,,
Emp-286,37,No,Travel Rarely,Research & Development,1,Post Graduate,Female,3,High,1,Entry Level,Research Scientist,4,Very High," ₹ 21,150 ",No,2,Needs Improvement,3,Regular Training,3,Good,17,12,5,11-04-2007,,,,,,,,,,,,,,,,,,,,,,,,
Emp-287,44,Yes,Travel Frequently,Research & Development,24,Post Graduate,Male,3,High,1,Entry Level,Laboratory Technician,3,High," ₹ 31,610 ",Yes,4,Exceeds Expectation,0,Basic Training,1,Very Poor,1,0,0,10-11-2023,24-07-2024,,,,,,,,,,,,,,,,,,,,,,,
Emp-288,38,No,Travel Rarely,Research & Development,23,Post Graduate,Male,3,High,2,Junior Level,Healthcare Representative,4,Very High," ₹ 57,450 ",No,3,Meets Expectation,2,Regular Training,3,Good,2,2,1,21-11-2022,,,,,,,,,,,,,,,,,,,,,,,,
Emp-289,26,Yes,Travel Rarely,Research & Development,16,Post Graduate,Male,3,High,1,Entry Level,Laboratory Technician,2,Moderate," ₹ 23,730 ",Yes,3,Meets Expectation,2,Regular Training,3,Good,3,2,0,01-07-2021,25-02-2024,,,,,,,,,,,,,,,,,,,,,,,
Emp-290,28,No,Travel Rarely,Research & Development,8,Phd holder,Female,3,High,1,Entry Level,Research Scientist,4,Very High," ₹ 33,100 ",No,3,Meets Expectation,3,Regular Training,3,Good,5,3,0,08-08-2019,,,,,,,,,,,,,,,,,,,,,,,,
Emp-291,49,No,Travel Frequently,Research & Development,10,Post Graduate,Female,3,High,5,Leadership,Research Director,1,Low," ₹ 1,86,650 ",Yes,4,Exceeds Expectation,4,Advanced Training,3,Good,3,2,1,07-12-2021,,,,,,,,,,,,,,,,,,,,,,,,
Emp-292,36,No,Travel Rarely,Research & Development,3,Phd holder,Male,3,High,2,Junior Level,Research Scientist,2,Moderate," ₹ 44,850 ",No,3,Meets Expectation,2,Regular Training,3,Good,8,0,7,09-12-2016,,,,,,,,,,,,,,,,,,,,,,,,
Emp-293,31,No,Travel Frequently,Sales,5,Phd holder,Female,3,High,1,Entry Level,Sales Representative,2,Moderate," ₹ 27,890 ",No,4,Exceeds Expectation,5,Advanced Training,2,Poor,2,2,2,14-11-2022,,,,,,,,,,,,,,,,,,,,,,,,
Emp-294,26,Yes,Travel Rarely,Sales,4,Phd holder,Male,2,Moderate,2,Junior Level,Sales Executive,4,Very High," ₹ 58,280 ",Yes,2,Needs Improvement,0,Basic Training,3,Good,8,7,7,25-01-2016,28-03-2022,,,,,,,,,,,,,,,,,,,,,,,
Emp-295,37,No,Travel Frequently,Research & Development,9,Post Graduate,Male,3,High,1,Entry Level,Research Scientist,4,Very High," ₹ 23,260 ",Yes,4,Exceeds Expectation,3,Regular Training,2,Poor,4,2,1,12-02-2020,,,,,,,,,,,,,,,,,,,,,,,,
Emp-296,42,No,Travel Frequently,Sales,26,Phd holder,Female,3,High,4,Senior Level,Sales Executive,2,Moderate," ₹ 1,35,250 ",No,3,Meets Expectation,2,Regular Training,4,Better,20,4,4,16-02-2004,,,,,,,,,,,,,,,,,,,,,,,,
Emp-297,18,Yes,Travel Rarely,Research & Development,3,Under Graduate,Male,3,High,1,Entry Level,Laboratory Technician,3,High," ₹ 14,200 ",No,3,Meets Expectation,2,Regular Training,3,Good,0,0,0,14-04-2024,29-07-2024,,,,,,,,,,,,,,,,,,,,,,,
Emp-298,35,No,Travel Rarely,Sales,16,Post Graduate,Male,3,High,3,Mid Level,Sales Executive,2,Moderate," ₹ 80,200 ",No,2,Needs Improvement,3,Regular Training,2,Poor,11,9,6,19-02-2013,,,,,,,,,,,,,,,,,,,,,,,,
Emp-299,36,No,Travel Frequently,Research & Development,18,Post Graduate,Male,4,Very High,1,Entry Level,Laboratory Technician,4,Very High," ₹ 36,880 ",No,4,Exceeds Expectation,2,Regular Training,3,Good,1,0,0,20-06-2023,,,,,,,,,,,,,,,,,,,,,,,,
Emp-300,51,No,Travel Rarely,Research & Development,2,Post Graduate,Male,1,Low,2,Junior Level,Manufacturing Director,2,Moderate," ₹ 54,820 ",No,2,Needs Improvement,3,Regular Training,3,Good,4,1,1,21-01-2020,,,,,,,,,,,,,,,,,,,,,,,,
Emp-301,41,No,Travel Rarely,Sales,2,Phd holder,Male,3,High,4,Senior Level,Manager,2,Moderate," ₹ 1,60,150 ",No,3,Meets Expectation,2,Regular Training,3,Good,22,10,0,14-02-2002,,,,,,,,,,,,,,,,,,,,,,,,
Emp-302,18,No,Travel Rarely,Sales,10,Under Graduate,Female,2,Moderate,1,Entry Level,Sales Representative,3,High," ₹ 12,000 ",No,3,Meets Expectation,2,Regular Training,3,Good,0,0,0,07-10-2024,,,,,,,,,,,,,,,,,,,,,,,,
Emp-303,28,No,Travel Rarely,Research & Development,16,Phd holder,Male,4,Very High,2,Junior Level,Healthcare Representative,1,Low," ₹ 56,610 ",No,4,Exceeds Expectation,2,Regular Training,3,Good,8,3,0,02-06-2016,,,,,,,,,,,,,,,,,,,,,,,,
Emp-304,31,No,Travel Rarely,Sales,7,Post Graduate,Male,4,Very High,2,Junior Level,Sales Executive,4,Very High," ₹ 69,290 ",No,2,Needs Improvement,3,Regular Training,2,Poor,8,7,7,02-09-2016,,,,,,,,,,,,,,,,,,,,,,,,
Emp-305,39,No,Travel Rarely,Research & Development,1,Post Graduate,Male,4,Very High,3,Mid Level,Healthcare Representative,4,Very High," ₹ 96,130 ",No,4,Exceeds Expectation,5,Advanced Training,2,Poor,18,10,3,03-02-2006,,,,,,,,,,,,,,,,,,,,,,,,
Emp-306,36,No,Non Travel,Research & Development,24,Post Graduate,Female,3,High,2,Junior Level,Laboratory Technician,2,Moderate," ₹ 56,740 ",No,3,Meets Expectation,3,Regular Training,3,Good,9,8,0,23-04-2015,,,,,,,,,,,,,,,,,,,,,,,,
Emp-307,32,No,Travel Rarely,Sales,7,Phd holder,Male,2,Moderate,2,Junior Level,Sales Executive,3,High," ₹ 54,840 ",No,2,Needs Improvement,3,Regular Training,2,Poor,13,8,4,22-09-2011,,,,,,,,,,,,,,,,,,,,,,,,
Emp-308,38,No,Travel Rarely,Research & Development,25,Post Graduate,Female,2,Moderate,3,Mid Level,Research Director,2,Moderate," ₹ 1,20,610 ",No,3,Meets Expectation,2,Regular Training,3,Good,10,8,0,16-08-2014,,,,,,,,,,,,,,,,,,,,,,,,
Emp-309,58,No,Non Travel,Research & Development,1,Phd holder,Male,1,Low,2,Junior Level,Healthcare Representative,3,High," ₹ 56,600 ",Yes,2,Needs Improvement,2,Regular Training,3,Good,5,3,1,24-06-2019,,,,,,,,,,,,,,,,,,,,,,,,
Emp-310,31,No,Travel Rarely,Research & Development,5,Post Graduate,Male,3,High,1,Entry Level,Research Scientist,4,Very High," ₹ 48,210 ",Yes,4,Exceeds Expectation,4,Advanced Training,3,Good,5,2,0,22-08-2019,,,,,,,,,,,,,,,,,,,,,,,,
Emp-311,31,No,Travel Rarely,Human Resources,2,Post Graduate,Male,2,Moderate,2,Junior Level,Human Resources,1,Low," ₹ 64,100 ",No,2,Needs Improvement,1,Basic Training,3,Good,2,2,1,16-05-2022,,,,,,,,,,,,,,,,,,,,,,,,
Emp-312,45,No,Travel Frequently,Research & Development,7,Post Graduate,Male,3,High,3,Mid Level,Laboratory Technician,1,Low," ₹ 52,100 ",No,2,Needs Improvement,2,Regular Training,3,Good,24,9,9,03-02-2000,,,,,,,,,,,,,,,,,,,,,,,,
Emp-313,31,No,Travel Rarely,Research & Development,2,Post Graduate,Male,3,High,1,Entry Level,Research Scientist,4,Very High," ₹ 26,950 ",Yes,3,Meets Expectation,2,Regular Training,1,Very Poor,2,2,2,05-03-2022,,,,,,,,,,,,,,,,,,,,,,,,
Emp-314,33,No,Travel Frequently,Research & Development,5,Post Graduate,Female,3,High,3,Mid Level,Manager,2,Moderate," ₹ 1,18,780 ",No,3,Meets Expectation,2,Regular Training,3,Good,10,6,8,04-07-2014,,,,,,,,,,,,,,,,,,,,,,,,
Emp-315,39,No,Travel Rarely,Research & Development,10,Phd holder,Male,3,High,4,Senior Level,Manager,1,Low," ₹ 1,70,680 ",Yes,3,Meets Expectation,3,Regular Training,3,Good,21,9,11,07-06-2003,,,,,,,,,,,,,,,,,,,,,,,,
Emp-316,43,No,Travel Frequently,Research & Development,10,Post Graduate,Female,3,High,1,Entry Level,Laboratory Technician,4,Very High," ₹ 24,550 ",No,3,Meets Expectation,5,Advanced Training,3,Good,8,7,1,09-12-2016,,,,,,,,,,,,,,,,,,,,,,,,
